2 0.916667 0.680208 0.15 0.102083
0 0.907639 0.211458 0.181944 0.235417
9 0.902083 0.223958 0.193056 0.227083
9 0.854167 0.233333 0.0972222 0.204167
64 0.792361 0.7375 0.126389 0.120833 0.361158
63 0.611111 0.44375 0.511111 0.4 0.405073
0 0.425694 0.478125 0.834722 0.935417 0.458185
0 0.425 0.469792 0.838889 0.939583 0.515424
63 0.609722 0.441667 0.511111 0.404167 0.587228
62 0.795139 0.85 0.406944 0.2875 0.569075
0 0.251389 0.596875 0.5 0.80625 0.923847
62 0.795139 0.85 0.406944 0.2875 0.575961
0 0.254167 0.595833 0.505556 0.804167 0.926269
62 0.795139 0.85 0.406944 0.2875 0.579263
0 0.232639 0.578125 0.459722 0.835417 0.879779
41 0.915972 0.975 0.1625 0.05 0.255326
0 0.180556 0.564583 0.352778 0.841667 0.795435
0 0.509028 0.616667 0.365278 0.745833 0.919819
0 0.420833 0.541667 0.383333 0.916667 0.753681
0 0.176389 0.567708 0.347222 0.864583 0.822444
62 0.749306 0.855208 0.493056 0.28125 0.311984
0 0.213194 0.590625 0.420833 0.797917 0.901321
45 0.793056 0.976042 0.186111 0.0479167 0.267272
0 0.201389 0.585417 0.4 0.804167 0.854397
0 0.198611 0.5875 0.397222 0.795833 0.841614
45 0.79375 0.975 0.1875 0.05 0.289429
0 0.218056 0.586458 0.433333 0.814583 0.906628
45 0.793056 0.975 0.191667 0.05 0.47462
0 0.414583 0.526042 0.829167 0.939583 0.597758
63 0.73125 0.855208 0.518056 0.289583 0.257919
45 0.791667 0.975 0.186111 0.05 0.350319
0 0.209028 0.545833 0.418056 0.908333 0.741986
41 0.779861 0.978125 0.176389 0.04375 0.309717
0 0.327778 0.553125 0.655556 0.89375 0.390024
0 0.89375 0.8125 0.206944 0.329167 0.577233
62 0.748611 0.85625 0.502778 0.2875 0.360307
0 0.225 0.563542 0.447222 0.872917 0.898684
62 0.749306 0.852083 0.498611 0.295833 0.358128
0 0.222222 0.565625 0.441667 0.86875 0.892663
62 0.742361 0.855208 0.504167 0.289583 0.377719
0 0.2 0.558333 0.397222 0.875 0.865755
62 0.743056 0.855208 0.505556 0.289583 0.406732
0 0.202778 0.553125 0.402778 0.889583 0.90182
62 0.740972 0.855208 0.504167 0.289583 0.429263
0 0.203472 0.55625 0.404167 0.879167 0.880968
62 0.742361 0.855208 0.504167 0.289583 0.445053
0 0.198611 0.552083 0.394444 0.895833 0.889022
62 0.742361 0.855208 0.504167 0.289583 0.413747
65 0.368056 0.955208 0.0444444 0.0395833 0.471801
0 0.227778 0.552083 0.447222 0.883333 0.89885
62 0.742361 0.855208 0.504167 0.289583 0.414179
0 0.227083 0.554167 0.448611 0.883333 0.892017
65 0.36875 0.954167 0.0430556 0.0375 0.383697
62 0.743056 0.855208 0.502778 0.289583 0.449049
0 0.222222 0.555208 0.438889 0.885417 0.88151
65 0.371528 0.94375 0.0458333 0.0375 0.25803
62 0.742361 0.855208 0.504167 0.289583 0.390253
0 0.229861 0.552083 0.451389 0.8875 0.892082
62 0.743056 0.855208 0.505556 0.289583 0.425133
0 0.227778 0.552083 0.447222 0.883333 0.896264
62 0.742361 0.855208 0.504167 0.289583 0.401555
0 0.222222 0.55625 0.438889 0.879167 0.899158
62 0.742361 0.855208 0.504167 0.289583 0.432413
0 0.225694 0.554167 0.443056 0.8875 0.875817
62 0.742361 0.855208 0.504167 0.289583 0.409117
0 0.215972 0.552083 0.426389 0.891667 0.886147
62 0.742361 0.85625 0.504167 0.2875 0.39907
65 0.365278 0.954167 0.0388889 0.0416667 0.417823
0 0.215278 0.55625 0.427778 0.8875 0.875012
65 0.366667 0.952083 0.0388889 0.0375 0.251086
62 0.743056 0.855208 0.502778 0.289583 0.417904
0 0.216667 0.555208 0.427778 0.889583 0.879194
62 0.742361 0.855208 0.504167 0.289583 0.401709
0 0.213889 0.547917 0.419444 0.904167 0.901226
62 0.742361 0.855208 0.504167 0.289583 0.369528
0 0.213889 0.551042 0.422222 0.897917 0.897349
62 0.742361 0.855208 0.504167 0.289583 0.403084
0 0.213889 0.552083 0.425 0.895833 0.891483
62 0.742361 0.855208 0.504167 0.289583 0.373016
0 0.217361 0.560417 0.431944 0.879167 0.88478
62 0.741667 0.855208 0.505556 0.289583 0.372958
65 0.359722 0.933333 0.0472222 0.0416667 0.381409
0 0.215972 0.55625 0.426389 0.875 0.887754
62 0.742361 0.855208 0.504167 0.289583 0.35273
0 0.195833 0.561458 0.388889 0.86875 0.823939
62 0.741667 0.855208 0.502778 0.289583 0.35651
0 0.197917 0.553125 0.395833 0.89375 0.891674
63 0.738889 0.861458 0.497222 0.277083 0.266684
62 0.742361 0.85625 0.506944 0.2875 0.311392
0 0.215278 0.560417 0.425 0.879167 0.873822
62 0.742361 0.855208 0.504167 0.289583 0.366788
0 0.2 0.557292 0.394444 0.86875 0.873884
62 0.742361 0.854167 0.504167 0.291667 0.258331
0 0.211111 0.5625 0.419444 0.870833 0.858017
62 0.741667 0.855208 0.502778 0.289583 0.348013
0 0.195139 0.566667 0.384722 0.866667 0.817145
45 0.816667 0.975 0.183333 0.05 0.263015
0 0.257639 0.579167 0.509722 0.829167 0.820207
0 0.270139 0.579167 0.534722 0.841667 0.86717
41 0.872917 0.971875 0.168056 0.05625 0.432802
56 0.926389 0.847917 0.147222 0.2875 0.460765
56 0.927778 0.847917 0.144444 0.2875 0.419119
41 0.869444 0.970833 0.175 0.0583333 0.507106
56 0.928472 0.847917 0.143056 0.2875 0.401644
41 0.870139 0.970833 0.173611 0.0583333 0.505687
56 0.928472 0.847917 0.143056 0.2875 0.312869
41 0.869444 0.970833 0.175 0.0583333 0.525261
56 0.927778 0.847917 0.144444 0.2875 0.371831
41 0.86875 0.970833 0.176389 0.0583333 0.531497
56 0.927778 0.847917 0.144444 0.2875 0.350304
41 0.869444 0.970833 0.175 0.0583333 0.511751
56 0.927083 0.847917 0.145833 0.2875 0.422733
41 0.868056 0.969792 0.177778 0.0604167 0.550105
56 0.927083 0.847917 0.145833 0.2875 0.414815
41 0.868056 0.970833 0.177778 0.0583333 0.537018
56 0.929167 0.847917 0.141667 0.2875 0.361333
41 0.870139 0.970833 0.173611 0.0583333 0.556667
56 0.925694 0.847917 0.148611 0.2875 0.427643
41 0.86875 0.969792 0.176389 0.0604167 0.540465
56 0.928472 0.847917 0.143056 0.2875 0.404483
41 0.870139 0.970833 0.173611 0.0583333 0.525496
56 0.928472 0.847917 0.143056 0.2875 0.380885
41 0.86875 0.970833 0.176389 0.0583333 0.523602
56 0.926389 0.847917 0.147222 0.2875 0.386233
41 0.868056 0.970833 0.177778 0.0583333 0.525386
56 0.927778 0.847917 0.144444 0.2875 0.405255
41 0.869444 0.970833 0.175 0.0583333 0.526001
56 0.927083 0.847917 0.145833 0.2875 0.390649
41 0.870139 0.970833 0.173611 0.0583333 0.55021
56 0.927778 0.847917 0.144444 0.2875 0.374721
41 0.86875 0.969792 0.176389 0.0604167 0.529201
56 0.927778 0.847917 0.144444 0.2875 0.402654
41 0.869444 0.970833 0.175 0.0583333 0.536292
56 0.927083 0.847917 0.145833 0.2875 0.341946
41 0.868056 0.970833 0.177778 0.0583333 0.518463
56 0.927083 0.847917 0.145833 0.2875 0.393874
41 0.870139 0.970833 0.173611 0.0583333 0.543846
56 0.927778 0.847917 0.144444 0.2875 0.344246
41 0.86875 0.969792 0.176389 0.0604167 0.52426
56 0.927083 0.847917 0.145833 0.2875 0.364522
41 0.86875 0.969792 0.176389 0.0604167 0.509672
56 0.928472 0.847917 0.143056 0.2875 0.318288
41 0.869444 0.969792 0.175 0.0604167 0.505778
